year,age,men,women
1996,25,344876,340401
1996,26,320834,318542
1996,27,323321,327110
1996,28,325520,326103
1996,29,332680,336787
1996,30,327518,334323
1996,31,345120,353296
1996,32,367531,379417
1996,33,378667,393604
1996,34,389681,404158
1996,35,405822,420780
1996,36,391428,411739
1996,37,387957,407895
1996,38,377833,398588
1996,39,371267,396033
1996,40,351739,376835
1996,41,362150,390820
1996,42,333872,363236
1996,43,351230,382520
1996,44,348165,378898
1996,45,345154,380194
1996,46,360270,401970
1996,47,301201,338513
1996,48,269204,305508
1996,49,256544,297798
1996,50,166947,198840
1996,51,197974,236160
1996,52,177897,214184
1996,53,231583,281956
1996,54,300051,367402
1996,55,310641,383745
1996,56,336827,426999
1996,57,355797,453658
1996,58,374633,468527
1996,59,302140,381818
1996,60,257036,321703
1996,61,194562,244322
1996,62,165776,217421
1996,63,205052,285364
1996,64,215510,295504
1996,65,246428,356327
1996,66,231857,344131
1996,67,236227,366263
1996,68,216780,342638
1996,69,183382,340425
1996,70,158068,320928
1996,71,139584,310284
1996,72,116814,270418
1996,73,95456,244294
1996,74,84494,207160
1996,75,67286,169757
1996,76,62828,167799
1996,77,55120,146920
1996,78,37072,103992
1996,79,35788,105970
1996,80 і старше,299900,994582
1996,Вік невідомий,NA,NA
1997,0,238069,223722
1997,1,249187,235812
1997,2,261996,248321
1997,3,279237,265608
1997,4,298517,283960
1997,5,320106,304016
1997,6,334347,318052
1997,7,352098,335640
1997,8,377330,360063
1997,9,384894,367810
1997,10,405921,389593
1997,11,394136,379739
1997,12,404820,388483
1997,13,412112,396023
1997,14,379873,362874
1997,15,366407,354636
1997,16,376428,363989
1997,17,360852,349730
1997,18,359320,349844
1997,19,349945,342511
1997,20,367624,359133
1997,21,360415,356512
1997,22,354868,349225
1997,23,351351,342443
1997,24,361829,354659
1997,25,353853,344898
1997,26,342434,338975
1997,27,317662,316833
1997,28,320799,325092
1997,29,321728,323808
1997,30,329313,334698
1997,31,324398,332722
1997,32,341593,351500
1997,33,363853,377541
1997,34,374596,391244
1997,35,386046,402586
1997,36,401932,419094
1997,37,387130,409420
1997,38,383647,406001
1997,39,372784,396131
1997,40,366600,394175
1997,41,346904,374585
1997,42,357193,388550
1997,43,328697,360718
1997,44,345604,379875
1997,45,342597,376774
1997,46,339726,377827
1997,47,354059,399210
1997,48,295479,335628
1997,49,263790,302902
1997,50,250661,295428
1997,51,163297,197352
1997,52,193327,234231
1997,53,173589,212407
1997,54,225687,279273
1997,55,292462,364181
1997,56,302482,380204
1997,57,327290,422376
1997,58,344936,447954
1997,59,362915,462538
1997,60,291737,376430
1997,61,247569,316832
1997,62,186949,240264
1997,63,158681,213238
1997,64,196121,279548
1997,65,205564,289106
1997,66,235986,349838
1997,67,219788,335044
1997,68,222757,355970
1997,69,203737,332495
1997,70,171692,328968
1997,71,147558,309368
1997,72,129220,297473
1997,73,107733,257993
1997,74,87658,231812
1997,75,77429,196021
1997,76,60936,159563
1997,77,56339,155687
1997,78,49405,137121
1997,79,32638,94792
1997,80 і старше,275951,937156
1997,Вік невідомий,NA,NA
1998,0,224714,212900
1998,1,237505,223809
1998,2,248608,235542
1998,3,261033,247378
1998,4,277710,264187
1998,5,297276,282789
1998,6,318874,302854
1998,7,333454,317267
1998,8,350896,334342
1998,9,375563,358398
1998,10,384339,367028
1998,11,405720,389181
1998,12,393892,379267
1998,13,404495,388020
1998,14,412075,395419
1998,15,379424,362006
1998,16,365695,354030
1998,17,374872,362434
1998,18,359830,348084
1998,19,357636,347888
1998,20,347654,340368
1998,21,365435,357341
1998,22,356995,353538
1998,23,351538,346533
1998,24,347120,339451
1998,25,357026,351849
1998,26,350310,343290
1998,27,340681,338236
1998,28,315324,315687
1998,29,319027,323503
1998,30,318895,322320
1998,31,326797,333326
1998,32,322040,331625
1998,33,338725,349880
1998,34,360666,376074
1998,35,371196,389436
1998,36,382934,401463
1998,37,398671,417894
1998,38,383125,407409
1998,39,379873,404516
1998,40,368155,393962
1998,41,362727,392678
1998,42,342436,372671
1998,43,352562,386635
1998,44,323903,358395
1998,45,340126,377447
1998,46,337762,374990
1998,47,334591,375670
1998,48,348260,396513
1998,49,290000,333056
1998,50,258468,300566
1998,51,245677,293406
1998,52,159977,196022
1998,53,188792,232334
1998,54,169379,210620
1998,55,219931,276590
1998,56,285307,361168
1998,57,294716,376742
1998,58,318180,417855
1998,59,334641,442494
1998,60,350429,456529
1998,61,281735,371202
1998,62,238582,312157
1998,63,179523,236264
1998,64,151914,208937
1998,65,187402,273776
1998,66,196051,282808
1998,67,225384,343153
1998,68,207739,326060
1998,69,209963,345612
1998,70,191285,321959
1998,71,160457,317361
1998,72,137343,297272
1998,73,119446,284518
1998,74,99180,245616
1998,75,80041,219007
1998,76,70647,184662
1998,77,55016,148957
1998,78,50269,143335
1998,79,44103,127499
1998,80 і старше,253722,876964
1998,Вік невідомий,NA,NA
1999,0,212834,202058
1999,1,223148,211842
1999,2,237507,224340
1999,3,248102,235317
1999,4,259867,246405
1999,5,276106,262716
1999,6,296011,281616
1999,7,317589,301600
1999,8,332602,316225
1999,9,349501,333073
1999,10,373659,356465
1999,11,383733,366169
1999,12,405404,388543
1999,13,393580,378606
1999,14,403923,387478
1999,15,411777,394803
1999,16,378743,360996
1999,17,364473,352884
1999,18,374121,361654
1999,19,358012,345813
1999,20,355568,346004
1999,21,344823,338107
1999,22,362256,354337
1999,23,354568,350990
1999,24,348177,343895
1999,25,342678,336573
1999,26,352235,349013
1999,27,346487,341544
1999,28,338445,337153
1999,29,313048,314443
1999,30,317107,322053
1999,31,316070,320620
1999,32,324045,331880
1999,33,319649,330296
1999,34,335727,348274
1999,35,357536,374428
1999,36,367851,387421
1999,37,379908,400159
1999,38,395349,416575
1999,39,379223,405286
1999,40,375928,402861
1999,41,363724,391809
1999,42,358762,391143
1999,43,338184,370747
1999,44,347959,384606
1999,45,319078,356074
1999,46,334979,374999
1999,47,332969,373129
1999,48,329680,373348
1999,49,342531,393790
1999,50,284581,330338
1999,51,253488,298100
1999,52,241017,291345
1999,53,156649,194717
1999,54,184478,230435
1999,55,165203,208778
1999,56,214543,273819
1999,57,278362,358107
1999,58,287565,373149
1999,59,309356,413160
1999,60,324024,436930
1999,61,338957,450637
1999,62,272090,365836
1999,63,230017,307352
1999,64,172573,232261
1999,65,145358,204498
1999,66,178988,267843
1999,67,186787,276153
1999,68,215301,336036
1999,69,196142,316421
1999,70,197585,334806
1999,71,179130,310978
1999,72,149721,305355
1999,73,127702,284984
1999,74,110216,270795
1999,75,91076,232523
1999,76,72856,206210
1999,77,63951,173258
1999,78,49490,138542
1999,79,44601,131060
1999,80 і старше,246404,856775
1999,Вік невідомий,NA,NA
2000,0,198354,186626
2000,1,211574,201520
2000,2,222025,210955
2000,3,237571,224936
2000,4,247730,235171
2000,5,258911,245649
2000,6,274767,261421
2000,7,295126,280635
2000,8,316689,300710
2000,9,332133,315643
2000,10,348546,332038
2000,11,372185,355096
2000,12,383486,365679
2000,13,405515,388381
2000,14,393611,378294
2000,15,403743,387170
2000,16,411699,394344
2000,17,378173,359877
2000,18,364007,352268
2000,19,373278,360957
2000,20,356040,344301
2000,21,353246,344551
2000,22,342278,336205
2000,23,359744,352897
2000,24,351949,349131
2000,25,344642,341768
2000,26,337944,334177
2000,27,347419,346611
2000,28,342767,340297
2000,29,336524,336734
2000,30,310539,313684
2000,31,315051,320986
2000,32,313033,319463
2000,33,321395,330804
2000,34,317269,329579
2000,35,332848,347162
2000,36,354366,373351
2000,37,364536,385932
2000,38,376970,399262
2000,39,392200,415637
2000,40,375160,403527
2000,41,372181,401504
2000,42,359431,389912
2000,43,354779,389834
2000,44,333954,369013
2000,45,343351,382852
2000,46,314360,353876
2000,47,329705,372773
2000,48,328141,371416
2000,49,324565,371216
2000,50,336486,391172
2000,51,279460,327918
2000,52,248474,295800
2000,53,236132,289317
2000,54,153343,193346
2000,55,179927,228545
2000,56,161042,206984
2000,57,208991,271191
2000,58,271361,355048
2000,59,279809,369619
2000,60,299927,408422
2000,61,313367,431414
2000,62,327025,444500
2000,63,262164,360518
2000,64,221053,302361
2000,65,165209,227940
2000,66,138717,199954
2000,67,170418,261512
2000,68,177319,269136
2000,69,204863,328520
2000,70,184143,306400
2000,71,184966,323666
2000,72,167102,299588
2000,73,138864,292525
2000,74,117890,272000
2000,75,100913,256547
2000,76,82848,219074
2000,77,65831,192741
2000,78,57521,161462
2000,79,44127,127666
2000,80 і старше,239860,839577
2000,Вік невідомий,NA,NA
2001,0,197071,184168
2001,1,198423,187455
2001,2,210837,201364
2001,3,220976,210133
2001,4,237644,225509
2001,5,247322,235011
2001,6,257989,244858
2001,7,273400,260128
2001,8,294140,279692
2001,9,315702,299816
2001,10,331620,315015
2001,11,347534,331073
2001,12,370686,353625
2001,13,383189,365171
2001,14,405625,388117
2001,15,393572,377931
2001,16,403599,386913
2001,17,411527,393848
2001,18,377783,358985
2001,19,363604,351763
2001,20,372275,360318
2001,21,353983,342837
2001,22,350922,343085
2001,23,339633,334373
2001,24,357097,351461
2001,25,349116,347411
2001,26,340949,339768
2001,27,333119,331726
2001,28,342493,344152
2001,29,338820,339088
2001,30,334340,336347
2001,31,308037,312903
2001,32,313017,319893
2001,33,309841,318208
2001,34,318609,329704
2001,35,314659,328759
2001,36,329808,345991
2001,37,351159,372165
2001,38,360838,384308
2001,39,373653,398258
2001,40,388346,414590
2001,41,370789,401728
2001,42,367998,400126
2001,43,354633,387964
2001,44,350264,388428
2001,45,328924,367222
2001,46,338163,380942
2001,47,309088,351666
2001,48,323928,370323
2001,49,322727,369489
2001,50,318674,368925
2001,51,330028,388504
2001,52,273695,325215
2001,53,243015,293386
2001,54,230846,287126
2001,55,149568,191840
2001,56,175218,226408
2001,57,156600,204960
2001,58,202994,268305
2001,59,263900,351677
2001,60,271291,365664
2001,61,289832,403356
2001,62,301980,425261
2001,63,314016,437767
2001,64,251695,354592
2001,65,211410,296635
2001,66,157614,223204
2001,67,131880,194985
2001,68,161420,254829
2001,69,167649,261683
2001,70,194230,320309
2001,71,171907,295514
2001,72,171953,311338
2001,73,154197,287521
2001,74,128061,278847
2001,75,108036,257998
2001,76,91396,241536
2001,77,74535,204858
2001,78,58897,178560
2001,79,51234,149110
2001,80 і старше,233160,819486
2001,Вік невідомий,NA,NA
2002,0,183728,174438
2002,1,197079,185763
2002,2,198994,188746
2002,3,211056,201994
2002,4,221367,211030
2002,5,238066,226191
2002,6,247834,235838
2002,7,257962,244903
2002,8,273724,260868
2002,9,294357,279364
2002,10,316649,300977
2002,11,332028,315536
2002,12,346771,330212
2002,13,370864,354080
2002,14,384227,365217
2002,15,405506,388372
2002,16,393151,377438
2002,17,404761,387885
2002,18,411127,392748
2002,19,374993,355587
2002,20,362328,350984
2002,21,369762,358296
2002,22,351105,340829
2002,23,347774,340772
2002,24,336016,331722
2002,25,354896,350699
2002,26,344156,343271
2002,27,337491,337833
2002,28,327280,328745
2002,29,336693,340946
2002,30,334121,337069
2002,31,330255,333923
2002,32,305473,312433
2002,33,310068,318016
2002,34,306126,316619
2002,35,315246,328313
2002,36,311276,327117
2002,37,327768,346457
2002,38,349143,372024
2002,39,356964,382771
2002,40,369648,396724
2002,41,385094,414439
2002,42,366007,399853
2002,43,363359,398058
2002,44,349330,385819
2002,45,344061,385203
2002,46,324947,366721
2002,47,331211,376647
2002,48,303567,348994
2002,49,319408,369660
2002,50,316129,366260
2002,51,312472,366461
2002,52,323229,386388
2002,53,261932,313385
2002,54,240788,295544
2002,55,221485,279364
2002,56,146084,190689
2002,57,171337,225037
2002,58,153392,204736
2002,59,200554,270033
2002,60,258826,350920
2002,61,264158,365121
2002,62,282968,401709
2002,63,291022,418211
2002,64,301358,429757
2002,65,240040,344728
2002,66,200486,287974
2002,67,147240,213973
2002,68,126974,194033
2002,69,153893,248830
2002,70,161253,260677
2002,71,183535,311727
2002,72,160182,285186
2002,73,159979,298412
2002,74,141638,276475
2002,75,116753,263130
2002,76,98519,244605
2002,77,82195,224247
2002,78,66164,189235
